nasa_host,planet_count,status,hyg_id,hyg_name,hyg_distance_ly,nasa_distance_ly,method,evidence,angular_separation_arcsec,distance_difference_percent,candidate_hyg_ids,notes
11 Com,1,matched_outside_radius,60017,11    Com,289.91681643225826,303.9275159498364,catalog identifier,11 Com,2.229701850390005,4.8326618959172585,,
11 UMi,1,matched_outside_radius,74564,11    UMi,398.2372633485213,408.7424341183999,catalog identifier,11 UMi,0.17266634410435042,2.6379175774630816,,
14 And,1,matched_outside_radius,115711,Veritate,258.23953055927495,246.04976209848942,catalog identifier,14 And,5.184860593230474,4.720334038087003,,
14 Her,2,matched_outside_radius,79009,Gl 614,57.31089406687527,58.48734012129957,catalog identifier,14 Her,5.201776286840954,2.0527442008695926,,
16 Cyg B,1,unmatched_other,,,,68.94847978018639,unassigned,16 Cyg B,,,,Position candidates require review; component identity is preserved.
17 Sco,1,matched_outside_radius,79300,17Chi Sco,378.3717306945499,407.5421786484023,catalog identifier,17 Sco,0.1684313155847514,7.709468120228299,,
18 Del,1,matched_outside_radius,103195,Musica,245.5996662972403,248.60291422325608,catalog identifier,18 Del,0.9652376454976418,1.2228224782606385,,
1RXS J160929.1-210524,1,unmatched_other,,,,453.7976761361908,unassigned,1RXS J160929.1-210524,,,,Position candidates require review; component identity is preserved.
24 Boo,1,matched_outside_radius,70568,24    Boo,326.15637771674335,313.0654391843264,catalog identifier,24 Boo,5.689855284293392,4.0137,,
24 Sex,2,matched_outside_radius,50742,HIP 50887,252.63844708474537,235.0579660130575,catalog identifier,24 Sex,1.1427503909634715,6.9587512409742835,,
2MASS J01033563-5515561 A,1,unmatched_other,,,,,unassigned,2MASS J01033563-5515561 A,,,,Position candidates require review; component identity is preserved.
2MASS J01225093-2439505,1,unmatched_other,,,,110.33250561039765,unassigned,2MASS J01225093-2439505,,,,Position candidates require review; component identity is preserved.
2MASS J02192210-3925225,1,unmatched_other,,,,,unassigned,2MASS J02192210-3925225,,,,Position candidates require review; component identity is preserved.
2MASS J0249-0557 A,1,unmatched_other,,,,215.46314315259096,unassigned,2MASS J0249-0557 A,,,,Position candidates require review; component identity is preserved.
2MASS J03590986+2009361,1,unmatched_other,,,,383.02174217165754,unassigned,2MASS J03590986+2009361,,,,Position candidates require review; component identity is preserved.
2MASS J04372171+2651014,1,unmatched_other,,,,419.05876034558054,unassigned,2MASS J04372171+2651014,,,,Position candidates require review; component identity is preserved.
2MASS J04414489+2301513,1,unmatched_other,,,,,unassigned,2MASS J04414489+2301513,,,,Position candidates require review; component identity is preserved.
2MASS J11011926-7732383,1,unmatched_other,,,,,unassigned,2MASS J11011926-7732383,,,,Position candidates require review; component identity is preserved.
2MASS J11550485-7919108,1,unmatched_other,,,,328.9678456926616,unassigned,2MASS J11550485-7919108,,,,Position candidates require review; component identity is preserved.
2MASS J12073346-3932539,1,unmatched_other,,,,209.74464338208332,unassigned,2MASS J12073346-3932539,,,,Position candidates require review; component identity is preserved.
2MASS J16262785-2625152,1,unmatched_other,,,,474.34226636856846,unassigned,2MASS J16262785-2625152,,,,Position candidates require review; component identity is preserved.
2MASS J19383260+4603591,3,unmatched_other,,,,1292.662094932323,unassigned,2MASS J19383260+4603591,,,,Position candidates require review; component identity is preserved.
2MASS J21252752-8138278,1,unmatched_other,,,,111.26955288357786,unassigned,2MASS J21252752-8138278,,,,Position candidates require review; component identity is preserved.
2MASS J22362452+4751425,1,unmatched_other,,,,226.91905976351387,unassigned,2MASS J22362452+4751425,,,,Position candidates require review; component identity is preserved.
2MASS J22501512+2325342,1,unmatched_other,,,,186.66223037469166,unassigned,2MASS J22501512+2325342,,,,Position candidates require review; component identity is preserved.
4 UMa,1,matched_outside_radius,42408,4Pi 2UMa,256.0095994048256,239.5954535398528,catalog identifier,4 UMa,1.2992318686929203,6.411535310837033,,
47 UMa,3,matched_outside_radius,53565,Chalawan,45.86639292917246,44.99881696444592,catalog identifier,47 UMa,5.651479702604789,1.8915286538147014,,
51 Eri,1,matched_outside_radius,21494,51    Eri,95.98488655463811,97.0559840990599,catalog identifier,51 Eri,1.2226567880429078,1.115902287191936,,
51 Peg,1,matched_outside_radius,112997,Helvetios,50.906161277651584,50.428342184296554,catalog identifier,51 Peg,3.464760268878846,0.9386272336445095,,
55 Cnc,5,matched_outside_radius,43464,Copernicus,40.25128473040101,41.04841091754073,catalog identifier,55 Cnc,8.815851026631687,1.9803745209097958,,
55 Cnc B,2,unmatched_other,,,,40.69550971685121,unassigned,55 Cnc B,,,,Position candidates require review; component identity is preserved.
6 Lyn,1,matched_outside_radius,30966,6    Lyn,182.0070003955406,178.27674990359418,catalog identifier,6 Lyn,5.28255001502147,2.049509350651217,,
61 Vir,3,matched_selected,64720,Gl 506,27.903004270045106,27.73412049766338,catalog identifier,61 Vir,23.7175078130073,0.6052530069782825,,
7 CMa,2,matched_outside_radius,31512,Gl 239.1,64.41947231921169,64.61190458206457,catalog identifier,7 CMa,1.469197940703366,0.2987175397825817,,
70 Vir,1,matched_outside_radius,65515,Gl 512.1,58.661181470622594,58.385579331451936,catalog identifier,70 Vir,9.668704326157338,0.46982030068500363,,
75 Cet,2,matched_outside_radius,11763,75    Cet,265.59957537883105,270.5835709867206,catalog identifier,75 Cet,0.5722550259963213,1.8765073704582345,,
8 UMi,1,matched_outside_radius,72910,Baekdu,521.8502043467893,530.1737151061205,catalog identifier,8 UMi,0.28405134190900055,1.5949999999999953,,
81 Cet,1,matched_outside_radius,12215,81    Cet,301.71715417805007,330.26594807597434,catalog identifier,81 Cet,0.9440925421504323,9.462104988925155,,
91 Aqr,1,matched_outside_radius,114493,Gl 893.2A,149.81927979143063,143.60795773419295,catalog identifier,91 Aqr,5.757652323456987,4.145876329057713,,
AB Aur,1,matched_outside_radius,22857,HIP 22910,454.256904316016,528.7875505008245,catalog identifier,AB Aur,0.3826856061899375,16.40715759665355,,
AB Pic,1,matched_outside_radius,29961,HIP 30034,150.23317223475317,163.23311313778711,catalog identifier,AB Pic,0.7434235575075524,8.653176066015796,,
AF Lep,1,matched_outside_radius,25423,HIP 25486,88.19790303665086,87.59386142511946,catalog identifier,AF Lep,0.8067813344236598,0.6848707177090049,,
AT2021ueyL,1,unmatched_other,,,,3392.0263282541305,unassigned,AT2021ueyL,,,,Position candidates require review; component identity is preserved.
AU Mic,4,matched_outside_radius,102078,Gl 803,32.32144471897383,31.7092491979995,catalog identifier,AU Mic,7.314838600381616,1.8940846434842409,,
BD+03 2562,1,unmatched_other,,,,3491.9280267487693,unassigned,BD+03 2562,,,,Position candidates require review; component identity is preserved.
BD+05 4868 A,1,unmatched_other,,,,142.10209373827476,unassigned,BD+05 4868 A,,,,Position candidates require review; component identity is preserved.
BD+14 4559,1,unmatched_other,,,,160.96469553076716,unassigned,BD+14 4559,,,,Position candidates require review; component identity is preserved.
BD+15 2375,1,unmatched_other,,,,2505.027751234561,unassigned,BD+15 2375,,,,Position candidates require review; component identity is preserved.
BD+15 2940,1,unmatched_other,,,,1390.796025859737,unassigned,BD+15 2940,,,,Position candidates require review; component identity is preserved.
BD+20 2457,2,unmatched_other,,,,5021.862363342469,unassigned,BD+20 2457,,,,Position candidates require review; component identity is preserved.
BD+20 274,1,unmatched_other,,,,4313.450710941702,unassigned,BD+20 274,,,,Position candidates require review; component identity is preserved.
BD+20 594,1,unmatched_other,,,,585.3234970142448,unassigned,BD+20 594,,,,Position candidates require review; component identity is preserved.
BD+37 3172,1,unmatched_other,,,,1481.5686073420836,unassigned,BD+37 3172,,,,Position candidates require review; component identity is preserved.
BD+42 2315,1,unmatched_other,,,,1991.8859221728092,unassigned,BD+42 2315,,,,Position candidates require review; component identity is preserved.
BD+45 564,1,unmatched_other,,,,174.89157285927212,unassigned,BD+45 564,,,,Position candidates require review; component identity is preserved.
BD+48 738,1,unmatched_other,,,,2842.430000854978,unassigned,BD+48 738,,,,Position candidates require review; component identity is preserved.
BD+48 740,1,unmatched_other,,,,2174.1225366582626,unassigned,BD+48 740,,,,Position candidates require review; component identity is preserved.
BD+49 828,1,unmatched_other,,,,1441.7481751866464,unassigned,BD+49 828,,,,Position candidates require review; component identity is preserved.
BD+55 362,1,unmatched_other,,,,171.4594292965588,unassigned,BD+55 362,,,,Position candidates require review; component identity is preserved.
BD+60 1417,1,unmatched_other,,,,146.62131650791795,unassigned,BD+60 1417,,,,Position candidates require review; component identity is preserved.
BD+63 1405,1,unmatched_other,,,,124.09369549902249,unassigned,BD+63 1405,,,,Position candidates require review; component identity is preserved.
BD-06 1339,2,unmatched_other,,,,66.1102669812953,unassigned,BD-06 1339,,,,Position candidates require review; component identity is preserved.
BD-08 2823,2,unmatched_other,,,,134.81412947819413,unassigned,BD-08 2823,,,,Position candidates require review; component identity is preserved.
BD-10 3166,1,unmatched_other,,,,275.2984875829938,unassigned,BD-10 3166,,,,Position candidates require review; component identity is preserved.
BD-11 4672,2,unmatched_other,,,,88.60527235241908,unassigned,BD-11 4672,,,,Position candidates require review; component identity is preserved.
BD-13 2130,1,unmatched_other,,,,3017.64446852819,unassigned,BD-13 2130,,,,Position candidates require review; component identity is preserved.
BD-14 3065 A,1,unmatched_other,,,,1922.44070622936,unassigned,BD-14 3065 A,,,,Position candidates require review; component identity is preserved.
BD-17 63,1,unmatched_other,,,,112.39446623032289,unassigned,BD-17 63,,,,Position candidates require review; component identity is preserved.
BD-210397,2,unmatched_other,,,,77.40473618524838,unassigned,BD-210397,,,,Position candidates require review; component identity is preserved.
BEBOP-3,1,unmatched_other,,,,388.2956907993373,unassigned,BEBOP-3,,,,Position candidates require review; component identity is preserved.
BEBOP-4 A,1,unmatched_other,,,,764.1648236076667,unassigned,BEBOP-4 A,,,,Position candidates require review; component identity is preserved.
Barnard's star,4,matched_selected,87665,Barnard's Star,5.948440016797965,5.957409317185175,catalog identifier,Barnard's star,161.01488558166088,0.150784077201437,,
CD Cet,1,matched_selected,118201,GJ 1057,27.616965126787523,28.072768664646677,verified alias,GJ 1057; https://www.aanda.org/articles/aa/pdf/2020/08/aa38031-20.pdf; Variable-star designation absent in HYG,36.75495988180618,1.6504475990268697,,
CD-35 2722 B,1,unmatched_other,,,,,unassigned,CD-35 2722 B,,,,Position candidates require review; component identity is preserved.
CFBDSIR J145829+101343,1,unmatched_other,,,,,unassigned,CFBDSIR J145829+101343,,,,Position candidates require review; component identity is preserved.
CFHTWIR-Oph 98 A,1,unmatched_other,,,,,unassigned,CFHTWIR-Oph 98 A,,,,Position candidates require review; component identity is preserved.
