hyg_id,used_in_planets,pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
64720,1,61 Vir b,61 Vir,1.0,1.0,3.0,Radial Velocity,2009.0,Multiple Observatories,Published Confirmed,0.0,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,4.215,0.0006,-0.0006,0.0,0.050201,5e-06,-5e-06,0.0,,,,,,,,,5.1,0.5,-0.5,0.0,0.016,0.002,-0.002,0.0,Msini,0.12,0.11,-0.11,0.0,,,,,,,,,0.0,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,G5 V,5577.0,33.0,-33.0,0.0,0.963,0.011,-0.011,0.0,0.942,0.034,-0.029,0.0,-0.01,,,0.0,[Fe/H],4.34,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h18m23.15s,199.596455,'-18d18m56.79s,-18.3157745,8.50332,0.01737,-0.0173,4.6955,0.0462,-0.0462,2.956,0.236,-0.236,4.54052,0.0055701,-0.0055701,2014-05-14,2010-01,2014-05-14
64720,0,61 Vir b,61 Vir,0.0,1.0,3.0,Radial Velocity,2009.0,Multiple Observatories,Published Confirmed,0.0,<a refstr=HARADA_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170..343H/abstract target=ref>Harada et al. 2025</a>,4.215011,9.2e-05,-9e-05,0.0,0.04931,0.00072,-0.00074,0.0,,,,,,,,,5.8,0.3,-0.29,0.0,0.01824884,0.00094391,-0.00091244,0.0,Msini,0.036,0.037,-0.025,0.0,,,,,,,,,0.0,<a refstr=HARADA_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170..343H/abstract target=ref>Harada et al. 2025</a>,,5552.0,,,0.0,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h18m23.15s,199.596455,'-18d18m56.79s,-18.3157745,8.50332,0.01737,-0.0173,4.6955,0.0462,-0.0462,2.956,0.236,-0.236,4.54052,0.0055701,-0.0055701,2026-02-12,2025-12,2026-02-12
64720,0,61 Vir b,61 Vir,0.0,1.0,3.0,Radial Velocity,2009.0,Multiple Observatories,Published Confirmed,0.0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,4.21487,0.00016,-0.00016,0.0,0.04956,0.00065,-0.00067,0.0,,,,,,,,,5.11703735,0.54030829,-0.50852545,0.0,0.0161,0.0017,-0.0016,0.0,Msini,0.099,0.091,-0.07,0.0,,,,,,,,,0.0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,5585.57,78.88,-78.88,0.0,1.03251,0.023198,-0.023198,0.0,0.914072,0.036798,-0.036798,0.0,0.0275,0.06,-0.06,0.0,[Fe/H],4.368775,0.028304,-0.028304,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h18m23.15s,199.596455,'-18d18m56.79s,-18.3157745,8.50332,0.01737,-0.0173,4.6955,0.0462,-0.0462,2.956,0.236,-0.236,4.54052,0.0055701,-0.0055701,2021-09-20,2021-07,2021-09-20
64720,0,61 Vir c,61 Vir,0.0,1.0,3.0,Radial Velocity,2009.0,Multiple Observatories,Published Confirmed,0.0,<a refstr=HARADA_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170..343H/abstract target=ref>Harada et al. 2025</a>,38.0864,0.0052,-0.0053,0.0,0.2139,0.0031,-0.0032,0.0,,,,,,,,,17.84,0.77,-0.75,0.0,0.05613092,0.00242269,-0.00235976,0.0,Msini,0.022,0.024,-0.015,0.0,,,,,,,,,0.0,<a refstr=HARADA_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170..343H/abstract target=ref>Harada et al. 2025</a>,,5552.0,,,0.0,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h18m23.15s,199.596455,'-18d18m56.79s,-18.3157745,8.50332,0.01737,-0.0173,4.6955,0.0462,-0.0462,2.956,0.236,-0.236,4.54052,0.0055701,-0.0055701,2026-02-12,2025-12,2026-02-12
64720,0,61 Vir c,61 Vir,0.0,1.0,3.0,Radial Velocity,2009.0,Multiple Observatories,Published Confirmed,0.0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,38.0957,0.0083,-0.0083,0.0,0.2151,0.0028,-0.0029,0.0,,,,,,,,,16.11390023,1.11239942,-1.17596511,0.0,0.0507,0.0035,-0.0037,0.0,Msini,0.068,0.067,-0.047,0.0,,,,,,,,,0.0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,5585.57,78.88,-78.88,0.0,1.03251,0.023198,-0.023198,0.0,0.914072,0.036798,-0.036798,0.0,0.0275,0.06,-0.06,0.0,[Fe/H],4.368775,0.028304,-0.028304,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h18m23.15s,199.596455,'-18d18m56.79s,-18.3157745,8.50332,0.01737,-0.0173,4.6955,0.0462,-0.0462,2.956,0.236,-0.236,4.54052,0.0055701,-0.0055701,2021-09-20,2021-07,2021-09-20
64720,1,61 Vir c,61 Vir,1.0,1.0,3.0,Radial Velocity,2009.0,Multiple Observatories,Published Confirmed,0.0,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,38.021,0.034,-0.034,0.0,0.2175,0.0001,-0.0001,0.0,,,,,,,,,18.2,1.1,-1.1,0.0,0.057,0.003,-0.003,0.0,Msini,0.14,0.06,-0.06,0.0,,,,,,,,,0.0,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,G5 V,5577.0,33.0,-33.0,0.0,0.963,0.011,-0.011,0.0,0.942,0.034,-0.029,0.0,-0.01,,,0.0,[Fe/H],4.34,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h18m23.15s,199.596455,'-18d18m56.79s,-18.3157745,8.50332,0.01737,-0.0173,4.6955,0.0462,-0.0462,2.956,0.236,-0.236,4.54052,0.0055701,-0.0055701,2014-05-14,2010-01,2014-05-14
64720,1,61 Vir d,61 Vir,1.0,1.0,3.0,Radial Velocity,2009.0,Multiple Observatories,Published Confirmed,0.0,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,123.01,0.55,-0.55,0.0,0.476,0.001,-0.001,0.0,,,,,,,,,22.9,2.6,-2.6,0.0,0.072,0.008,-0.008,0.0,Msini,0.35,0.09,-0.09,0.0,,,,,,,,,0.0,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,G5 V,5577.0,33.0,-33.0,0.0,0.963,0.011,-0.011,0.0,0.942,0.034,-0.029,0.0,-0.01,,,0.0,[Fe/H],4.34,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h18m23.15s,199.596455,'-18d18m56.79s,-18.3157745,8.50332,0.01737,-0.0173,4.6955,0.0462,-0.0462,2.956,0.236,-0.236,4.54052,0.0055701,-0.0055701,2014-05-14,2010-01,2014-05-14
64720,0,61 Vir d,61 Vir,0.0,1.0,3.0,Radial Velocity,2009.0,Multiple Observatories,Published Confirmed,0.0,<a refstr=HARADA_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170..343H/abstract target=ref>Harada et al. 2025</a>,123.15,0.15,-0.16,0.0,0.4677,0.0068,-0.0071,0.0,,,,,,,,,10.92,1.0,-0.93,0.0,0.03435816,0.00314635,-0.00292611,0.0,Msini,0.105,0.1,-0.072,0.0,,,,,,,,,0.0,<a refstr=HARADA_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170..343H/abstract target=ref>Harada et al. 2025</a>,,5552.0,,,0.0,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h18m23.15s,199.596455,'-18d18m56.79s,-18.3157745,8.50332,0.01737,-0.0173,4.6955,0.0462,-0.0462,2.956,0.236,-0.236,4.54052,0.0055701,-0.0055701,2026-02-12,2025-12,2026-02-12
87665,1,Barnard b,Barnard's star,1.0,1.0,4.0,Radial Velocity,2024.0,Paranal Observatory,Published Confirmed,0.0,<a refstr=BASANT_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJ...982L...1B/abstract target=ref>Basant et al. 2025</a>,3.1542,0.0004,-0.0004,0.0,0.0229,0.0003,-0.0003,0.0,,,,,,,,,0.299,0.026,-0.026,0.0,0.00094076,8.181e-05,-8.181e-05,0.0,Msini,0.03,0.03,-0.02,0.0,,,,,438.0,,,0.0,0.0,<a refstr=GONZALEZ_HERNANDEZ_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...690A..79G/abstract target=ref>Gonz&aacute;lez Hern&aacute;ndez et al. 2024</a>,M3.5-4 V,3195.0,28.0,-28.0,0.0,0.185,0.006,-0.006,0.0,0.162,0.007,-0.007,0.0,-0.56,0.07,-0.07,0.0,[Fe/H],4.9,0.09,-0.09,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h57m47.67s,269.4486144,'+04d44m16.73s,4.7379808,1.82655,0.000975,-0.000975,9.54,0.1,-0.1,4.524,0.02,-0.02,8.19511,0.001998,-0.001998,2025-03-10,2025-03,2025-03-10
87665,0,Barnard b,Barnard's star,0.0,1.0,4.0,Radial Velocity,2024.0,Paranal Observatory,Published Confirmed,0.0,<a refstr=GONZALEZ_HERNANDEZ_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...690A..79G/abstract target=ref>Gonz&aacute;lez Hern&aacute;ndez et al. 2024</a>,3.1533,0.0006,-0.0006,0.0,0.02294,0.00033,-0.00033,0.0,,,,,,,,,0.37,0.05,-0.05,0.0,0.00116415,0.00015732,-0.00015732,0.0,Msini,0.16,,,1.0,6.76,0.05,-0.05,0.0,400.0,7.0,-7.0,0.0,0.0,<a refstr=GONZALEZ_HERNANDEZ_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...690A..79G/abstract target=ref>Gonz&aacute;lez Hern&aacute;ndez et al. 2024</a>,M3.5-4 V,3195.0,28.0,-28.0,0.0,0.185,0.006,-0.006,0.0,0.162,0.007,-0.007,0.0,-0.56,0.07,-0.07,0.0,[Fe/H],4.9,0.09,-0.09,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h57m47.67s,269.4486144,'+04d44m16.73s,4.7379808,1.82655,0.000975,-0.000975,9.54,0.1,-0.1,4.524,0.02,-0.02,8.19511,0.001998,-0.001998,2024-10-07,2024-10,2024-10-07
