planet_name,host_name,hyg_id,hyg_star_name,include_in_count,notes,semi_major_axis_au,orbital_period_days,eccentricity,insolation_earth,equilibrium_temperature_k,radius_earth,mass_or_msini_earth,stellar_temperature_k,stellar_mass_solar,stellar_radius_solar,stellar_metallicity_dex,mass_provenance,controversial,discovery_method,discovery_year,nasa_distance_ly,hyg_distance_ly,distance_difference_percent,match_method,angular_separation_arcsec,parameter_selection,source_rows,system_planet_count,system_star_count,solution_type,reference,reference_url,stellar_reference,system_reference,row_updated,faction_owners
61 Vir b,61 Vir,64720,Gl 506,1,,0.050201,4.215,0.12,,,,5.1,5577.0,0.942,0.963,-0.01,Msini,0,Radial Velocity,2009.0,27.73412049766338,27.903004270045106,0.6052530069782825,catalog identifier,23.7175078130073,NASA default,3,3.0,1.0,Published Confirmed,Vogt et al. 2010,https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract,Vogt et al. 2010,TICv8,2014-05-14,
61 Vir c,61 Vir,64720,Gl 506,1,,0.2175,38.021,0.14,,,,18.2,5577.0,0.942,0.963,-0.01,Msini,0,Radial Velocity,2009.0,27.73412049766338,27.903004270045106,0.6052530069782825,catalog identifier,23.7175078130073,NASA default,3,3.0,1.0,Published Confirmed,Vogt et al. 2010,https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract,Vogt et al. 2010,TICv8,2014-05-14,
61 Vir d,61 Vir,64720,Gl 506,1,,0.476,123.01,0.35,,,,22.9,5577.0,0.942,0.963,-0.01,Msini,0,Radial Velocity,2009.0,27.73412049766338,27.903004270045106,0.6052530069782825,catalog identifier,23.7175078130073,NASA default,2,3.0,1.0,Published Confirmed,Vogt et al. 2010,https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract,Vogt et al. 2010,TICv8,2014-05-14,
Barnard b,Barnard's star,87665,Barnard's Star,1,,0.0229,3.1542,0.03,,438.0,,0.299,3195.0,0.162,0.185,-0.56,Msini,0,Radial Velocity,2024.0,5.957409317185175,5.948440016797965,0.150784077201437,catalog identifier,161.01488558166088,NASA default,2,4.0,1.0,Published Confirmed,Basant et al. 2025,https://ui.adsabs.harvard.edu/abs/2025ApJ...982L...1B/abstract,González Hernández et al. 2024,TICv8,2025-03-10,test_two
Barnard c,Barnard's star,87665,Barnard's Star,1,,0.0274,4.1244,0.08,,400.0,,0.335,3195.0,0.162,0.185,-0.56,Msini,0,Radial Velocity,2025.0,5.957409317185175,5.948440016797965,0.150784077201437,catalog identifier,161.01488558166088,NASA default,1,4.0,1.0,Published Confirmed,Basant et al. 2025,https://ui.adsabs.harvard.edu/abs/2025ApJ...982L...1B/abstract,González Hernández et al. 2024,TICv8,2025-03-10,test_three
Barnard d,Barnard's star,87665,Barnard's Star,1,,0.0188,2.3402,0.04,,483.0,,0.263,3195.0,0.162,0.185,-0.56,Msini,0,Radial Velocity,2025.0,5.957409317185175,5.948440016797965,0.150784077201437,catalog identifier,161.01488558166088,NASA default,1,4.0,1.0,Published Confirmed,Basant et al. 2025,https://ui.adsabs.harvard.edu/abs/2025ApJ...982L...1B/abstract,González Hernández et al. 2024,TICv8,2025-03-10,test_two
Barnard e,Barnard's star,87665,Barnard's Star,1,,0.0381,6.7392,0.04,,340.0,,0.193,3195.0,0.162,0.185,-0.56,Msini,0,Radial Velocity,2025.0,5.957409317185175,5.948440016797965,0.150784077201437,catalog identifier,161.01488558166088,NASA default,1,4.0,1.0,Published Confirmed,Basant et al. 2025,https://ui.adsabs.harvard.edu/abs/2025ApJ...982L...1B/abstract,González Hernández et al. 2024,TICv8,2025-03-10,test_three
CD Cet b,CD Cet,118201,GJ 1057,1,,0.0185,2.2907,,8.6,464.0,,3.95,3130.0,0.161,0.175,0.13,Msini,0,Radial Velocity,2020.0,28.072768664646677,27.616965126787523,1.6504475990268697,verified alias,36.75495988180618,NASA default,1,1.0,1.0,Published Confirmed,Bauer et al. 2020,https://ui.adsabs.harvard.edu/abs/2020A&A...640A..50B/abstract,Bauer et al. 2020,TICv8,2021-11-02,
GJ 1002 b,GJ 1002,117960,GJ 1002,1,,0.0457,10.3465,,0.67,230.9,,1.08,3024.0,0.12,0.137,-0.25,Msini,0,Radial Velocity,2022.0,15.814246439438419,15.326740501665203,3.18075417092271,catalog identifier,32.50194269882626,NASA default,1,2.0,1.0,Published Confirmed,Suárez Mascareño et al. 2023,https://ui.adsabs.harvard.edu/abs/2023A&A...670A...5S/abstract,Suárez Mascareño et al. 2023,TICv8,2022-12-17,test_three
GJ 1002 c,GJ 1002,117960,GJ 1002,1,,0.0738,21.202,,0.257,181.7,,1.36,3024.0,0.12,0.137,-0.25,Msini,0,Radial Velocity,2022.0,15.814246439438419,15.326740501665203,3.18075417092271,catalog identifier,32.50194269882626,NASA default,1,2.0,1.0,Published Confirmed,Suárez Mascareño et al. 2023,https://ui.adsabs.harvard.edu/abs/2023A&A...670A...5S/abstract,Suárez Mascareño et al. 2023,TICv8,2022-12-17,test_three
