star_name,has_planets,planet_count,planet_count_override,confirmed_exoplanet_count,distance_ly,planet_names,notes,hyg_id,nasa_hosts,match_method,controversial_planet_count,distance_pc,spectral_type,hyg_luminosity_solar,apparent_magnitude,hip,hd,hr,gliese,bayer_flamsteed,proper_name,ra_deg_j2000,dec_deg_j2000,x_ly,y_ly,z_ly,component,primary_hyg_id,archive_planet_count,solar_system_planet_count,x_pc,y_pc,z_pc,system_id,faction_owners
Sol,Yes,8,,0,0.0,Mercury; Venus; Earth; Mars; Jupiter; Saturn; Uranus; Neptune,Sol: 8 Solar System planets; outside NASA exoplanet export.,0,,,0,0.0,G2V,1.0,-26.7,,,,,,Sol,0.0,0.0,0.0,0.0,0.0,1,0,0,8,0.0,0.0,0.0,hyg:0,
Proxima Centauri,Yes,2,,2,4.226660498831277,Proxima Cen b; Proxima Cen d,,70666,Proxima Cen,verified alias,0,1.2959,M5Ve,5.77032135333e-05,11.01,70890,,,Gl 551,,Proxima Centauri,217.439775,-62.679485,-1.5403191556602007,-1.178895488820946,-3.7547741899869154,1,70666,2,0,-0.472264,-0.361451,-1.151219,hyg:70666,
Toliman,Unknown,0,,0,4.320919691991415,,,71453,,,0,1.3248,K1V,0.44096081645063756,1.35,71681,128621,5460,Gl 559B,Alp2Cen,Toliman,219.90519,-60.8383,-1.6150644127415468,-1.3501993415253337,-3.7725660203913636,2,71456,0,0,-0.495181,-0.413973,-1.156674,hyg:71456,
Rigil Kentaurus,Unknown,0,,0,4.320919691991415,,,71456,,,0,1.3248,G2V,1.543121065657792,-0.01,71683,128620,5459,Gl 559A,Alp1Cen,Rigil Kentaurus,219.911475,-60.833976,-1.6151361671446445,-1.3505613751045995,-3.7724062037662827,1,71456,0,0,-0.495203,-0.414084,-1.156625,hyg:71456,
Barnard's Star,Yes,4,,4,5.948440016797965,Barnard b; Barnard c; Barnard d; Barnard e,,87665,Barnard's star,catalog identifier,0,1.8238,sdM4,0.0004425883723626,9.54,87937,,,Gl 699,,Barnard's Star,269.45207999999997,4.693388,-0.056663147500729816,-5.924999157931462,0.48637417514253917,1,87665,4,0,-0.017373,-1.816613,0.149123,hyg:87665,
Wolf 359,Unknown,0,,0,7.797094365696466,,,118720,,,0,2.3906,M6,2.0758692705e-05,13.45,,,,Gl 406,,Wolf 359,164.12226,7.01532,-7.445533667719366,2.117844253683238,0.9525625320681891,1,118720,0,0,-2.282811,0.649334,0.292057,hyg:118720,
Lalande 21185,Yes,2,,2,8.306876784067736,GJ 411 b; HD 95735 c,GJ 411: Catalog distances differ by >20%; HYG controls selection.,53879,GJ 411,catalog identifier,0,2.5469,M2V,0.0057016427228074665,7.49,54035,95735,,Gl 411,,Lalande 21185,165.83447999999999,35.969877,-6.516604426780532,1.6448229206444225,4.877681675009005,1,53879,2,0,-1.998,0.504305,1.495504,hyg:53879,
Gl 65A,Unknown,0,,0,8.567149573485697,,,118079,,,0,2.6267,dM5.5e,5.63378150851e-05,12.57,,,,Gl 65A,,,24.752985,-17.949782,7.405377294494881,3.4147594277809876,-2.6417459816458657,1,118079,0,0,2.270499,1.04697,-0.809963,hyg:118079,
Gl 65B,Unknown,0,,0,8.567149573485697,,,118080,,,0,2.6267,dM5.5e,4.99804313578e-05,12.7,,,,Gl 65B,,,24.752985,-17.949782,7.4058078209134655,3.414958383171395,-2.6418992751433925,2,118079,0,0,2.270631,1.047031,-0.81001,hyg:118079,
Sirius,Unknown,0,,0,8.60106983676824,,,32263,,,0,2.6371,A0m...,22.824433121735034,-1.44,32349,48915,2491,Gl 244A,9Alp CMa,Sirius,101.287215,-16.716116,-1.612265991020737,8.078016115387674,-2.4738472015248405,1,32263,0,0,-0.494323,2.476731,-0.758485,hyg:32263,
